Unnamed: 0,netParams.connParams.BC->BC_GABA.weight,netParams.connParams.BC->PYR_GABA.weight,netParams.connParams.OLM->PYR_GABA.weight,PYR,BC,OLM
30,0.0131785714285714,0.0061817142857142,0.4145142857142856,2.16,8.89,1.92
31,0.0131785714285714,0.0061817142857142,0.5163428571428571,2.15,8.2,1.94
32,0.0131785714285714,0.0061817142857142,0.6181714285714285,2.1,8.01,1.92
33,0.0131785714285714,0.0061817142857142,0.72,2.35,8.84,1.72
34,0.0131785714285714,0.0072,0.0072,3.0,12.4,2.56
35,0.0131785714285714,0.0072,0.1090285714285714,2.42,8.11,2.01
36,0.0131785714285714,0.0072,0.2108571428571428,2.3,9.03,1.96
37,0.0131785714285714,0.0072,0.3126857142857142,2.23,8.23,1.85
38,0.0131785714285714,0.0072,0.4145142857142856,2.32,9.1,1.9
39,0.0131785714285714,0.0072,0.5163428571428571,2.2,8.89,1.92
40,0.0131785714285714,0.0072,0.6181714285714285,2.09,8.86,1.79
41,0.0131785714285714,0.0072,0.72,2.15,8.94,1.89
42,0.0195428571428571,7.2e-05,0.0072,8.73,25.7,9.3
43,0.0195428571428571,7.2e-05,0.1090285714285714,5.09,12.7,6.78
44,0.0195428571428571,7.2e-05,0.2108571428571428,5.24,9.5,7.45
45,0.0195428571428571,7.2e-05,0.3126857142857142,4.58,8.93,5.92
46,0.0195428571428571,7.2e-05,0.4145142857142856,4.04,8.52,5.59
47,0.0195428571428571,7.2e-05,0.5163428571428571,5.95,24.4,6.97
48,0.0195428571428571,7.2e-05,0.6181714285714285,5.61,23.8,6.04
49,0.0195428571428571,7.2e-05,0.72,4.93,23.1,6.0
0,0.0195428571428571,0.0010902857142857,0.0072,5.65,21.4,6.21
1,0.0195428571428571,0.0010902857142857,0.1090285714285714,3.49,11.5,4.43
2,0.0195428571428571,0.0010902857142857,0.2108571428571428,3.21,9.63,4.59
3,0.0195428571428571,0.0010902857142857,0.3126857142857142,2.82,7.54,3.34
4,0.0195428571428571,0.0010902857142857,0.4145142857142856,3.54,14.1,4.8
5,0.0195428571428571,0.0010902857142857,0.5163428571428571,3.3,11.2,4.37
6,0.0195428571428571,0.0010902857142857,0.6181714285714285,3.16,10.5,4.17
7,0.0195428571428571,0.0010902857142857,0.72,3.02,10.8,3.96
8,0.0195428571428571,0.0021085714285714,0.0072,4.54,17.1,4.73
9,0.0195428571428571,0.0021085714285714,0.1090285714285714,3.26,12.9,3.96
10,0.0195428571428571,0.0021085714285714,0.2108571428571428,2.77,7.28,2.74
11,0.0195428571428571,0.0021085714285714,0.3126857142857142,3.0,8.78,3.0
12,0.0195428571428571,0.0021085714285714,0.4145142857142856,2.94,9.16,2.62
13,0.0195428571428571,0.0021085714285714,0.5163428571428571,2.76,8.36,2.8
